,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_003571605,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_003571645,I,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_003571705,R,,R,R,R,R,R,R,R,S,R,R,R,R,,I,R
GCA_003571745,R,,R,R,R,R,R,R,R,S,R,R,R,R,,R,R
GCA_004924315,S,,,S,S,S,,R,S,S,S,I,R,,,I,
GCA_021773985,R,,R,R,,R,R,,R,R,,R,R,R,,R,I
GCA_022058285,S,,R,R,R,S,S,S,R,S,S,S,,R,R,S,S
GCA_022058305,S,I,R,R,R,I,R,S,R,S,S,S,,R,R,S,S
GCA_022058325,I,R,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022058345,S,R,R,S,R,S,S,R,S,S,S,S,,R,R,S,S
GCA_022058365,R,R,R,R,R,R,R,R,S,S,R,S,,R,R,S,I
GCA_022058385,R,I,R,R,R,R,R,S,R,S,R,S,,R,R,S,S
GCA_022058405,R,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022058445,R,,R,R,R,R,I,S,I,S,R,S,,R,R,S,R
GCA_022058465,R,,R,R,R,R,S,S,I,S,R,S,,R,R,S,I
GCA_022058485,S,R,R,S,R,R,S,R,S,S,R,S,,R,R,S,S
GCA_022058505,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,I
GCA_022058525,R,R,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022058545,R,I,R,R,R,R,I,I,R,S,R,S,,R,R,S,S
GCA_022058555,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022058585,R,R,R,S,R,R,R,R,I,S,R,S,,R,R,S,S
GCA_022058605,S,R,R,R,R,R,I,S,R,S,S,S,,R,R,S,S
GCA_022058625,R,R,R,S,R,S,I,R,S,S,S,S,,R,R,S,I
GCA_022058645,S,,R,R,R,R,I,I,R,S,S,S,,R,R,S,S
GCA_022058685,S,,R,S,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022058705,S,R,I,R,R,R,S,S,R,S,R,S,,R,R,S,S
GCA_022058725,S,R,R,R,R,R,R,R,R,I,R,R,,R,R,R,R
GCA_022058745,S,,R,R,R,R,S,R,S,S,R,S,,R,R,S,R
GCA_022058785,S,,R,R,R,R,R,R,I,S,R,S,,R,R,S,I
GCA_022058815,R,,R,R,R,S,R,S,R,S,S,S,,R,R,S,S
GCA_022058885,R,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022058925,S,S,R,R,I,S,I,S,S,S,S,S,,R,R,S,S
GCA_022058945,S,,I,R,R,,S,S,S,S,S,S,,R,R,S,S
GCA_022058965,S,,R,S,R,R,S,R,I,S,R,S,,R,R,S,R
GCA_022058975,S,,R,S,S,R,S,I,R,S,S,S,,S,R,S,R
GCA_022059105,R,R,R,R,R,R,R,S,R,S,R,S,,R,R,S,S
GCA_022059135,S,R,R,S,I,S,S,R,R,S,S,S,,R,S,S,S
GCA_022059155,R,,R,S,R,R,R,R,S,S,R,R,,R,R,S,R
